tid,mynt,side,mengde,pris,belop_usdt,gebyr_usdt,grunn
2026-09-21T20:22:12Z,ETH-USDT,KJØP,0.0025346385,2795.2,7.0919,0.0071,signal +0.35
2026-09-21T20:22:13Z,ZEC-USDT,KJØP,0.0041087291,1477.713,6.0776,0.0061,signal +0.30
2026-09-21T20:22:14Z,AVAX-USDT,KJØP,0.9613700453,11.048,10.6318,0.0106,signal +0.53
2026-09-21T20:22:15Z,XMR-USDT,KJØP,0.0151833417,585.66,8.9012,0.0089,signal +0.45
2026-09-21T20:22:15Z,TAO-USDT,KJØP,0.0296688276,312.16,9.2707,0.0093,signal +0.46
2026-09-21T20:22:15Z,NEAR-USDT,KJØP,2.4574367223,4.1205,10.136,0.0101,signal +0.51
2026-09-21T20:22:16Z,SUI-USDT,KJØP,7.8430297537,1.0301,8.0872,0.0081,signal +0.40
2026-09-21T20:22:16Z,DOT-USDT,KJØP,9.1091466899,1.1861,10.8152,0.0108,signal +0.54
2026-09-21T20:22:17Z,SOL-USDT,KJØP,0.0702719913,119.23,8.3869,0.0084,signal +0.42
2026-09-21T20:22:18Z,LINK-USDT,KJØP,0.6134894936,13.2044,8.1089,0.0081,signal +0.41
2026-09-21T20:22:19Z,AAVE-USDT,KJØP,0.0615679092,147.157,9.0692,0.0091,signal +0.45
2026-09-21T20:22:19Z,ENA-USDT,KJØP,45.8361242528,0.2126,9.7545,0.0098,signal +0.49
2026-09-21T20:22:19Z,BNB-USDT,KJØP,0.0110428481,804.853,8.8968,0.0089,signal +0.44
2026-09-21T20:22:20Z,WIF-USDT,KJØP,32.8027331464,0.2391,7.851,0.0079,signal +0.39
2026-09-21T20:22:21Z,SEI-USDT,KJØP,140.17341325,0.05943,8.3388,0.0083,signal +0.42
2026-09-21T20:22:21Z,ARB-USDT,KJØP,40.8542961656,0.2244,9.1769,0.0092,signal +0.46
2026-09-21T20:22:21Z,PEPE-USDT,KJØP,1691527.2769021264,4.984e-06,8.439,0.0084,signal +0.42
2026-09-21T20:22:22Z,LTC-USDT,KJØP,0.1685964925,62.68,10.5782,0.0106,signal +0.53
2026-09-21T20:22:22Z,SHIB-USDT,KJØP,1243563.3557225147,5.993e-06,7.4601,0.0075,signal +0.37
2026-09-21T20:22:24Z,INJ-USDT,KJØP,0.9878716735,7.781,7.6943,0.0077,signal +0.38
2026-09-21T20:22:25Z,ONDO-USDT,KJØP,21.4822632864,0.4491,9.6573,0.0097,signal +0.48
2026-09-21T20:22:25Z,HYPE-USDT,KJØP,0.0782022712,93.362,7.3084,0.0073,signal +0.37
2026-09-21T20:22:26Z,ONE-USDT,KJØP,2734.5418432595,0.005291,14.4829,0.0145,signal +0.72
2026-09-21T20:22:26Z,ADA-USDT,KJØP,29.8992339528,0.2463,7.3716,0.0074,signal +0.37
2026-09-21T20:22:26Z,XLM-USDT,KJØP,43.4560111316,0.2142,9.3176,0.0093,signal +0.47
2026-09-21T20:22:27Z,FIL-USDT,KJØP,8.563126906,0.9746,8.354,0.0084,signal +0.42
2026-09-21T20:22:29Z,VVV-USDT,KJØP,0.434148533,31.802,13.8206,0.0138,signal +0.69
2026-09-21T20:22:30Z,FET-USDT,KJØP,56.5672446142,0.2033,11.5116,0.0115,signal +0.58
2026-09-21T20:22:30Z,AR-USDT,KJØP,1.5632559595,4.525,7.0808,0.0071,signal +0.35
2026-09-21T20:22:31Z,HBAR-USDT,KJØP,104.14429425,0.09192,9.5825,0.0096,signal +0.48
2026-09-22T00:28:46Z,DASH-USDT,KJØP,0.1598654219,59.27,9.4847,0.0095,signal +0.47
2026-09-22T00:28:46Z,LSK-USDT,KJØP,18.4252167894,0.3621,6.6784,0.0067,signal +0.33
2026-09-22T00:28:47Z,SYN-USDT,KJØP,31.1650172282,0.2429,7.5776,0.0076,signal +0.38
2026-09-22T00:28:47Z,KAS-USDT,KJØP,264.4153269514,0.04369,11.5639,0.0116,signal +0.58
2026-09-22T00:28:48Z,G-USDT,KJØP,979.2645459556,0.00642,6.2932,0.0063,signal +0.31
2026-09-22T00:28:48Z,USELESS-USDT,KJØP,40.3255331416,0.28354,11.4453,0.0114,signal +0.57
2026-09-22T00:28:49Z,CELR-USDT,KJØP,2101.720092644,0.00325,6.8374,0.0068,signal +0.34
2026-09-22T00:28:50Z,WLD-USDT,KJØP,16.4296526942,0.4673,7.6853,0.0077,signal +0.38
2026-09-22T00:28:50Z,STX-USDT,KJØP,30.6972619931,0.3424,10.5213,0.0105,signal +0.52
2026-09-22T00:28:51Z,ICP-USDT,KJØP,3.4774160983,3.051,10.6202,0.0106,signal +0.53
2026-09-22T00:28:51Z,ALGO-USDT,KJØP,97.8965963395,0.1121,10.9852,0.011,signal +0.55
2026-09-22T00:28:52Z,APT-USDT,KJØP,10.8294300738,0.79,8.5638,0.0086,signal +0.43
2026-09-22T00:28:54Z,RENDER-USDT,KJØP,4.0163815262,1.874,7.5342,0.0075,signal +0.38
2026-09-22T00:28:55Z,S-USDT,KJØP,270.7912226369,0.03991,10.8181,0.0108,signal +0.54
2026-09-22T00:28:56Z,AERO-USDT,KJØP,14.5394991433,0.6972,10.1471,0.0101,signal +0.51
2026-09-22T00:28:56Z,RAY-USDT,KJØP,5.6625117519,1.8157,10.2917,0.0103,signal +0.51
2026-09-22T00:28:57Z,CAKE-USDT,KJØP,3.9405093868,2.546,10.0426,0.01,signal +0.50
2026-09-22T00:28:57Z,VET-USDT,KJØP,1133.1576998477,0.009198,10.4332,0.0104,signal +0.52
2026-09-22T00:28:58Z,ATOM-USDT,KJØP,4.788137039,1.8079,8.6651,0.0087,signal +0.43
2026-09-22T00:28:59Z,POL-USDT,KJØP,72.7821849838,0.112,8.1598,0.0082,signal +0.41
2026-09-22T00:28:59Z,TIA-USDT,KJØP,18.4234364239,0.438,8.0775,0.0081,signal +0.40
