tid,egenkapital,kontanter
2026-09-21T18:53:06Z,1000.0,1000.0
2026-09-21T19:21:35Z,1000.0,1000.0
2026-09-21T20:22:10Z,999.4619,461.8666
2026-09-21T21:21:38Z,996.1386,461.8666
2026-09-21T22:21:54Z,1000.0704,461.8666
2026-09-21T23:21:26Z,1002.6659,461.8666
2026-09-22T00:28:28Z,1003.6354,366.9686
2026-09-22T01:20:12Z,996.2682,366.9686
2026-09-22T02:22:29Z,995.918,366.9686
2026-09-22T03:22:50Z,993.7937,387.0362
2026-09-22T04:22:25Z,994.7886,369.0156
2026-09-22T05:21:34Z,989.4097,369.0156
2026-09-22T06:27:27Z,993.4741,369.0156
2026-09-22T07:22:36Z,994.5497,369.0156
2026-09-22T08:23:58Z,996.3,363.7941
2026-09-22T09:22:12Z,996.9184,369.2599
2026-09-22T10:23:33Z,993.192,369.2599
2026-09-22T11:21:56Z,996.7217,369.2599
2026-09-22T12:27:14Z,996.3269,341.7301
2026-09-22T13:23:27Z,1000.8053,363.2014
2026-09-22T14:25:30Z,996.541,386.3574
2026-09-22T15:22:40Z,997.0507,386.3574
2026-09-22T16:23:14Z,991.3356,351.2885
2026-09-22T17:21:23Z,999.2107,351.2885
2026-09-22T18:26:24Z,999.4226,351.2885
2026-09-22T19:20:37Z,1000.4931,351.2885
2026-09-22T20:21:10Z,996.2225,354.1924
2026-09-22T21:20:31Z,997.9402,359.2937
2026-09-22T22:21:18Z,1001.7202,359.2937
2026-09-22T23:20:08Z,1013.758,359.2937
2026-09-23T00:27:41Z,1012.8663,339.0096
2026-09-23T01:21:10Z,1012.8994,356.4182
2026-09-23T02:22:42Z,1008.9344,356.4182
2026-09-23T03:22:59Z,1012.6749,372.7521
