tid,egenkapital,kontanter
2026-09-19T20:26:56Z,1017.3884,980.8364
2026-09-19T21:20:04Z,1016.7907,768.9943
2026-09-19T22:20:14Z,1016.0519,741.5688
2026-09-19T23:18:53Z,1018.4641,565.14
2026-09-20T00:29:44Z,1021.6472,512.797
2026-09-20T01:19:48Z,1019.5722,512.797
2026-09-20T02:21:38Z,1017.0352,502.9012
2026-09-20T03:21:56Z,1008.8776,518.7837
2026-09-20T04:21:59Z,1006.9772,524.5623
2026-09-20T05:20:34Z,1007.4873,524.5623
2026-09-20T06:25:49Z,1012.1956,529.5726
2026-09-20T07:20:49Z,1009.156,529.5726
2026-09-20T08:22:28Z,1008.3305,529.5726
2026-09-20T09:20:57Z,1011.6897,529.5726
2026-09-20T10:20:39Z,1011.0872,522.8249
2026-09-20T11:20:20Z,1012.1984,528.5501
2026-09-20T12:25:34Z,1015.9194,529.5001
2026-09-20T13:20:51Z,1016.9152,535.0628
2026-09-20T14:20:34Z,1016.2398,535.0628
2026-09-20T15:20:43Z,1022.7561,540.3119
2026-09-20T16:21:41Z,1027.4445,528.0696
2026-09-20T17:19:40Z,1031.5719,528.1667
2026-09-20T18:22:54Z,1031.4818,522.2361
