tid,mynt,side,mengde,pris,belop_usdt,gebyr_usdt,grunn
2026-09-21T20:21:41Z,BTC-USDT,KJØP,0.0004341294,87001.2,37.8076,0.0378,signal +0.38
2026-09-21T20:21:42Z,ETH-USDT,KJØP,0.0162824615,2800.0,45.6365,0.0456,signal +0.46
2026-09-21T20:21:42Z,SOL-USDT,KJØP,0.5106768739,119.26,60.9643,0.061,signal +0.61
2026-09-21T20:21:43Z,BNB-USDT,KJØP,0.061514714,805.372,49.5918,0.0496,signal +0.50
2026-09-21T20:21:43Z,DOGE-USDT,KJØP,405.4248370497,0.10057,40.8144,0.0408,signal +0.41
2026-09-21T20:21:44Z,ADA-USDT,KJØP,240.5552852287,0.2463,59.3081,0.0593,signal +0.59
2026-09-21T20:21:44Z,LINK-USDT,KJØP,3.6026668766,13.2195,47.6731,0.0477,signal +0.48
2026-09-21T20:21:45Z,AVAX-USDT,KJØP,5.306901144,11.041,58.6521,0.0587,signal +0.59
2026-09-21T20:21:46Z,DOT-USDT,KJØP,56.4393653732,1.1865,67.0323,0.067,signal +0.67
2026-09-21T20:21:46Z,LTC-USDT,KJØP,0.9687527948,62.72,60.821,0.0608,signal +0.61
2026-09-21T20:21:47Z,UNI-USDT,KJØP,7.0034179497,8.8335,61.9266,0.0619,signal +0.62
2026-09-21T20:21:47Z,CAKE-USDT,KJØP,4.0643699361,2.547,10.3623,0.0104,signal +0.57
