tid,mynt,score,beslutning,bekreftet,ta,nyheter,onchain,fg,funding,pris,handling
2026-09-19T20:26:51Z,BTC-USDT,0.2477,AVVENT,False,0.5231,0.0349,0.1752,71,2.4e-05,81333.6,
2026-09-19T20:26:52Z,ETH-USDT,0.3944,KJØP,False,0.6208,0.0349,0.1752,71,2e-06,2638.02,
2026-09-19T20:26:52Z,XRP-USDT,0.0746,AVVENT,False,0.174,0.0349,0.1752,71,0.0001,1.42981,
2026-09-19T20:26:52Z,SOL-USDT,0.4011,KJØP,False,0.6762,0.0349,0.1752,71,0.0001,111.08,
2026-09-19T20:26:53Z,BNB-USDT,0.381,KJØP,False,0.6454,0.0349,0.1752,71,0.0001,761.99,
2026-09-19T20:26:53Z,DOGE-USDT,-0.189,AVVENT,False,-0.2316,0.0349,0.1752,71,0.0001,0.08903,
2026-09-19T20:26:54Z,ADA-USDT,0.0528,AVVENT,False,0.1404,0.0349,0.1752,71,0.0001,0.2305,
2026-09-19T20:26:54Z,LINK-USDT,0.3233,KJØP,False,0.5567,0.0349,0.1752,71,0.0001,12.5256,
2026-09-19T20:26:55Z,AVAX-USDT,0.1404,AVVENT,False,0.2752,0.0349,0.1752,71,0.0001,9.749,
2026-09-19T20:26:55Z,DOT-USDT,-0.0046,AVVENT,False,0.0522,0.0349,0.1752,71,0.0001,1.129,
2026-09-19T20:26:55Z,LTC-USDT,0.2409,AVVENT,False,0.4299,0.0349,0.1752,71,0.0001,57.91,
2026-09-19T20:26:56Z,UNI-USDT,0.4844,KJØP,False,0.8044,0.0349,0.1752,71,0.0001,8.654,take-profit
2026-09-19T20:26:56Z,CAKE-USDT,0.4328,KJØP,False,0.7021,0.0349,0.1752,71,5e-05,2.383,
2026-09-19T21:20:00Z,BTC-USDT,0.2424,AVVENT,True,0.5133,0.0349,0.1752,71,2.7e-05,81002.8,
2026-09-19T21:20:00Z,ETH-USDT,0.3833,KJØP,True,0.6097,0.0349,0.1752,71,1.5e-05,2624.23,kjøp
2026-09-19T21:20:00Z,XRP-USDT,0.0596,AVVENT,True,0.1509,0.0349,0.1752,71,0.0001,1.41502,
2026-09-19T21:20:01Z,SOL-USDT,0.397,KJØP,True,0.67,0.0349,0.1752,71,0.0001,110.76,kjøp
2026-09-19T21:20:01Z,BNB-USDT,0.3746,KJØP,True,0.6356,0.0349,0.1752,71,0.0001,759.071,kjøp
2026-09-19T21:20:01Z,DOGE-USDT,-0.2404,AVVENT,True,-0.3106,0.0349,0.1752,71,0.0001,0.08778,
2026-09-19T21:20:02Z,ADA-USDT,-0.0043,AVVENT,True,0.0526,0.0349,0.1752,71,0.0001,0.2269,
2026-09-19T21:20:02Z,LINK-USDT,0.3098,KJØP,True,0.5358,0.0349,0.1752,71,0.0001,12.3934,
2026-09-19T21:20:02Z,AVAX-USDT,0.1421,AVVENT,True,0.2779,0.0349,0.1752,71,0.0001,9.697,
2026-09-19T21:20:03Z,DOT-USDT,-0.0863,AVVENT,True,-0.0736,0.0349,0.1752,71,0.0001,1.1027,
2026-09-19T21:20:03Z,LTC-USDT,0.2273,AVVENT,True,0.4089,0.0349,0.1752,71,0.0001,57.42,
2026-09-19T21:20:03Z,UNI-USDT,0.4947,KJØP,True,0.8203,0.0349,0.1752,71,0.0001,8.5441,kjøp
2026-09-19T21:20:04Z,CAKE-USDT,0.4334,KJØP,True,0.703,0.0349,0.1752,71,5e-05,2.384,kjøp
2026-09-19T22:20:08Z,BTC-USDT,0.1375,AVVENT,True,0.1776,0.0349,0.1752,71,2.6e-05,81045.3,
2026-09-19T22:20:09Z,ETH-USDT,0.2867,AVVENT,False,0.363,0.0349,0.1752,71,2.2e-05,2621.48,
2026-09-19T22:20:09Z,XRP-USDT,-0.129,AVVENT,True,-0.1372,0.0349,0.1752,71,0.0001,1.40246,
2026-09-19T22:20:10Z,SOL-USDT,0.4219,KJØP,True,0.5515,0.0349,0.1752,71,0.0001,110.24,
2026-09-19T22:20:10Z,BNB-USDT,0.336,KJØP,True,0.4441,0.0349,0.1752,71,0.0001,758.484,
2026-09-19T22:20:11Z,DOGE-USDT,-0.1025,AVVENT,True,-0.1041,0.0349,0.1752,71,0.0001,0.08693,
2026-09-19T22:20:11Z,ADA-USDT,0.2747,AVVENT,True,0.3675,0.0349,0.1752,71,0.0001,0.2263,
2026-09-19T22:20:12Z,LINK-USDT,0.0896,AVVENT,False,0.1361,0.0349,0.1752,71,0.0001,12.3132,
2026-09-19T22:20:12Z,AVAX-USDT,0.5574,KJØP,False,0.7208,0.0349,0.1752,71,0.0001,9.618,
2026-09-19T22:20:13Z,DOT-USDT,0.552,KJØP,False,0.7141,0.0349,0.1752,71,0.0001,1.1038,
2026-09-19T22:20:13Z,LTC-USDT,0.5592,KJØP,False,0.7231,0.0349,0.1752,71,0.0001,56.96,
2026-09-19T22:20:13Z,UNI-USDT,0.6413,KJØP,True,0.8256,0.0349,0.1752,71,0.0001,8.5008,kjøp
2026-09-19T22:20:14Z,CAKE-USDT,0.5546,KJØP,True,0.7048,0.0349,0.1752,71,5e-05,2.386,kjøp
2026-09-19T23:18:48Z,BTC-USDT,0.1505,AVVENT,True,0.1946,0.0349,0.1752,71,2.5e-05,81262.6,
2026-09-19T23:18:49Z,ETH-USDT,0.31,KJØP,False,0.3923,0.0349,0.1752,71,2.3e-05,2633.79,
2026-09-19T23:18:49Z,XRP-USDT,-0.0874,AVVENT,True,-0.0852,0.0349,0.1752,71,0.0001,1.41438,
2026-09-19T23:18:49Z,SOL-USDT,0.4334,KJØP,True,0.5659,0.0349,0.1752,71,0.0001,110.83,
2026-09-19T23:18:50Z,BNB-USDT,0.3652,KJØP,True,0.4806,0.0349,0.1752,71,0.0001,762.626,
2026-09-19T23:18:50Z,DOGE-USDT,-0.0485,AVVENT,True,-0.0366,0.0349,0.1752,71,0.0001,0.08788,
2026-09-19T23:18:51Z,ADA-USDT,0.3069,KJØP,False,0.4077,0.0349,0.1752,71,0.0001,0.2278,
2026-09-19T23:18:51Z,LINK-USDT,0.1411,AVVENT,True,0.2004,0.0349,0.1752,71,0.0001,12.4321,
